,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
2797,reputation,0,20,35973389,11230,0,1093,271106,19,914
2798,reputation,1,20,36798517,11230,0,1093,271106,11,914
2803,reputation,3,849,28305484,16264,1,1507,930393,18,1744
2866,reputation,4,290,15047053,23645,0,3889,156755,16,5226
2869,reputation,0,139,22711565,12407,0,3683,351785,16,784
2922,reputation,0,154,31027692,197771,0,975,12870,20,9458
2923,reputation,0,154,25244483,197771,1,975,12870,20,9458
2924,reputation,0,154,31160283,197771,0,975,12870,17,9458
2925,reputation,2,67,33694764,29864,0,1496,15369,15,2531
2926,reputation,2,67,36496541,29864,0,1496,15369,16,2531
2927,reputation,1,67,14952029,29864,0,1496,15369,19,2531
2928,reputation,3,67,36620216,29864,0,1496,15369,18,2531
2929,reputation,0,67,37659772,29864,0,1496,15369,13,2531
2930,reputation,0,347,30803468,14620,0,662,28768,16,1750
2937,reputation,2,120,17322683,50978,0,2112,356635,20,4399
2938,reputation,2,47,37721959,20547,0,1360,1212017,19,3336
2939,reputation,0,47,35415022,20547,0,1360,1212017,17,3336
2940,reputation,1,47,34857556,20547,0,1360,1212017,16,3336
2963,reputation,0,266,37525980,24503,1,3232,1596545,16,2121
2964,reputation,1,266,37769510,24503,0,3232,1596545,8,2121
2976,reputation,4,11,36383540,17348,0,373,26107,17,813
2991,reputation,0,22,37431448,55720,0,3128,107409,16,4202
3016,reputation,0,319,37252735,12266,0,4760,180430,15,1008
3038,reputation,0,63,37455660,10692,0,444,424611,10,894
3039,reputation,0,63,36804264,10692,0,444,424611,15,894
3050,reputation,1,98,36735905,13238,0,92,125680,12,1495
3056,reputation,0,24,37721572,17985,1,397,416626,12,352
3057,reputation,0,24,34043599,17985,1,397,416626,17,352
3058,reputation,1,24,35808440,17985,0,397,416626,19,352
3059,reputation,0,24,37571594,17985,0,397,416626,17,352
3060,reputation,0,9,29305764,11283,0,336,473040,14,841
3061,reputation,0,9,33210160,11283,0,336,473040,19,841
3064,reputation,0,812,37410831,38113,0,1737,699224,16,3852
3065,reputation,0,29,37679278,20739,0,4103,1071320,11,1016
3066,reputation,0,29,36723939,20739,0,4103,1071320,13,1016
3067,reputation,0,29,35603360,20739,0,4103,1071320,15,1016
3068,reputation,0,29,36091158,20739,0,4103,1071320,13,1016
3088,reputation,0,2549,35725444,18807,0,3154,1084416,10,4475
3093,reputation,2,1,26120935,15643,1,1779,3894917,16,990
3108,reputation,0,42,37145210,21884,0,1945,435129,17,2032
3109,reputation,0,42,37175235,21884,0,1945,435129,7,2032
3190,reputation,0,29,35563832,16110,1,1120,28901,19,530
3191,reputation,0,35,35994210,30605,0,1014,107783,10,2351
3192,reputation,0,35,34675425,30605,1,1014,107783,19,2351
3193,reputation,0,35,37612690,30605,0,1014,107783,4,2351
3194,reputation,0,35,35574386,30605,0,1014,107783,11,2351
3195,reputation,1,35,33999782,30605,0,1014,107783,17,2351
3196,reputation,0,35,34653754,30605,0,1014,107783,20,2351
3197,reputation,2,35,32078853,30605,0,1014,107783,15,2351
3198,reputation,0,35,35625671,30605,0,1014,107783,19,2351
3199,reputation,0,34,33591027,11219,0,203,154688,14,975
3216,reputation,0,28,31291218,21375,0,2064,15825,19,1289
3218,reputation,0,16,35968956,36591,0,243,440602,19,2435
3222,reputation,0,16,34041866,12409,0,450,1019952,9,766
3223,reputation,7,16,37499742,12409,1,450,1019952,17,766
3224,reputation,0,16,33304462,12409,0,450,1019952,20,766
3276,reputation,0,5348,37212604,212764,0,9057,82548,8,18175
3277,reputation,6,97,36488139,31238,0,412,183579,16,1644
3290,reputation,0,18,34602245,10995,0,652,16964,12,1626
3291,reputation,0,18,32917235,10995,0,652,16964,13,1626
3292,reputation,3,18,36456746,10995,0,652,16964,15,1626
3293,reputation,0,18,34419736,10995,0,652,16964,20,1626
3324,reputation,0,176,37700898,32077,1,1115,7512,16,2978
3325,reputation,0,176,37274072,32077,0,1115,7512,18,2978
3332,reputation,0,117,37695339,12034,0,951,493762,11,529
3349,reputation,1,39,37594854,17284,0,2412,539490,8,858
3350,reputation,2,39,36504252,17284,0,2412,539490,20,858
3351,reputation,0,39,37768208,17284,0,2412,539490,10,858
3352,reputation,0,39,37363764,17284,0,2412,539490,14,858
3353,reputation,0,39,37594790,17284,0,2412,539490,10,858
3577,reputation,0,42,34902206,11295,0,545,192993,14,805
3625,reputation,0,0,35895688,15963,0,731,199,19,1122
3626,reputation,0,0,37351643,15963,0,731,199,7,1122
3655,reputation,0,32,37393059,24921,0,2970,33051,15,3241
3703,reputation,1,198,24763792,37327,0,1900,38522,19,2872
3704,reputation,0,198,33542204,37327,0,1900,38522,13,2872
3705,reputation,0,198,32889015,37327,0,1900,38522,7,2872
3706,reputation,2,198,35154609,37327,0,1900,38522,18,2872
3707,reputation,0,198,33732365,37327,0,1900,38522,13,2872
3708,reputation,1,198,31301174,37327,-1,1900,38522,10,2872
3709,reputation,0,198,34335316,37327,0,1900,38522,18,2872
3710,reputation,0,198,36846139,37327,0,1900,38522,6,2872
3711,reputation,1,198,34162465,37327,1,1900,38522,19,2872
3712,reputation,4,198,37055352,37327,2,1900,38522,20,2872
3713,reputation,0,198,28127067,37327,0,1900,38522,12,2872
3714,reputation,1,198,33018072,37327,-1,1900,38522,19,2872
3715,reputation,2,198,32328862,37327,-1,1900,38522,18,2872
3716,reputation,0,198,32850215,37327,0,1900,38522,17,2872
3717,reputation,0,198,31853183,37327,0,1900,38522,15,2872
3718,reputation,2,198,37729403,37327,0,1900,38522,15,2872
3719,reputation,2,198,31304513,37327,0,1900,38522,18,2872
3720,reputation,0,198,32507199,37327,0,1900,38522,16,2872
3721,reputation,1,198,36920582,37327,0,1900,38522,14,2872
3760,reputation,0,64,37076074,49689,0,1752,463785,17,4102
3778,reputation,1,21,31573645,16753,0,360,21634,15,1450
3782,reputation,0,796,34719924,41176,0,1793,410636,16,3818
3803,reputation,4,1,26934448,11468,0,281,1005499,20,348
3816,reputation,0,26,37711381,14883,0,239,755,5,575
3843,reputation,1,25,31677626,19360,0,459,3122639,17,632
3857,reputation,0,778,35155919,13466,2,920,789657,13,4388
3865,reputation,0,10,37683705,21421,0,256,24109,5,933
3866,reputation,3,10,24686472,21421,0,256,24109,18,933
3926,reputation,1,25,37394541,10837,0,145,1930219,15,749
3943,reputation,3,484,27375605,28663,0,1577,21061,19,2387
3944,reputation,2,484,37149731,28663,0,1577,21061,13,2387
3945,reputation,0,484,35343186,28663,2,1577,21061,17,2387
3946,reputation,0,194,34476742,49892,0,492,191463,18,2449
3947,reputation,1,194,36572155,49892,1,492,191463,12,2449
3967,reputation,4,46,37080167,17310,1,3414,303612,17,4062
3968,reputation,2,46,37132635,17310,1,3414,303612,15,4062
3972,reputation,1,1,33078084,55042,1,5546,1006010,12,2630
3987,reputation,2,485,31963873,12628,2,5163,940834,18,1792
3995,reputation,0,171,34581020,16933,0,281,2332336,14,1275
3996,reputation,2,171,36182794,16933,0,281,2332336,13,1275
3997,reputation,0,171,35989686,16933,0,281,2332336,13,1275
3998,reputation,0,171,37659417,16933,0,281,2332336,12,1275
4011,reputation,1,85,30646854,38542,1,2078,2071807,19,1978
4026,reputation,0,10,23250914,12585,0,69,1641422,20,614
4081,reputation,0,18,25159341,13543,0,1866,3189,17,702
4102,reputation,0,8,33078690,11815,0,495,51593,13,1979
4103,reputation,2,32,25503699,13154,0,2591,846476,17,762
4104,reputation,0,32,31809898,13154,0,2591,846476,11,762
4105,reputation,0,32,25253387,13154,0,2591,846476,19,762
